id,company,employee_turnover,revenue_growth,rd_investment,operational_cost,average_salary,market_volatility,average_tenure,growth_potential,net_profit
0,PT Rifqi Consultant Sinergi,90.2,10.0,7.58,44.9,1610,9.44,56.2,5.82,553
1,PT Awalina Enterprise Edge,16.6,28.0,6.55,48.6,9930,4.49,76.3,1.65,4090
2,PT Idham Enterprise Hub,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460
3,PT Farhan Hardware Link,119.0,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530
4,PT Idham Connect Solutionindo,10.3,45.5,6.03,58.9,19100,1.44,76.8,2.13,12200
5,PT Rifqi Lab Niaga,14.5,18.9,8.1,16.0,18700,20.9,75.8,2.37,10300
6,PT Rico Trans Ecosystem,18.1,20.8,4.4,45.3,6700,7.77,73.3,1.69,3220
7,PT German Technologyindo Industry,4.8,19.8,8.73,20.9,41400,1.16,82.0,1.93,51900
8,PT Rafiaul Design Strategic,4.3,51.3,11.0,47.8,43200,0.873,80.5,1.44,46900
9,PT Ray Hub Utama,39.2,54.3,5.88,20.7,16000,13.8,69.1,1.92,5840
10,PT Rohibah Advanced Digitalindo,13.8,35.0,7.89,43.7,22900,-0.393,73.8,1.86,28000
11,PT Rohibah Innovation Bhakti,8.6,69.5,4.97,50.9,41100,7.44,76.0,2.16,20700
12,PT Rafiaul Abadi Access,49.4,16.0,3.52,21.8,2440,7.14,70.4,2.33,758
13,PT Avin Sentosa Inovasi,14.2,39.5,7.97,48.7,15300,0.321,76.7,1.78,16000
14,PT Avin Artha Media,5.5,51.4,5.61,64.5,16200,15.1,70.4,1.49,6030
15,PT Athallah Tama Factory,4.5,76.4,10.7,74.7,41100,1.88,80.0,1.86,44400
16,PT Abdul Holding Core,18.8,58.2,5.2,57.5,7880,1.14,71.4,2.71,4340
17,PT Rico Digitalnet Advance,111.0,23.8,4.1,37.2,1820,0.885,61.8,5.36,758
18,PT Hana Intelligence Core,42.7,42.5,5.2,70.7,6420,5.99,72.1,2.38,2180
19,PT Yassa Pacific Global,46.6,41.2,4.84,34.3,5410,8.78,71.6,3.2,1980
20,PT Hana Niaga Transindo,6.9,29.7,11.1,51.3,9720,1.4,76.8,1.31,4610
21,PT Nayla Design Technologyindo,52.5,43.6,8.3,51.3,13300,8.92,57.1,2.88,6350
