Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4e6TmHCC4PRUj75knNplNP,"Mangu","Nalar","Fourtwnty,Charita Utami",2023-04-18,261048,80,,2025-05-09T13:15:36Z,"indonesian indie,indonesian pop,indie","Fourtwnty Music",0.534,0.295,7,-8.733,1,0.0238,0.647,0.00000296,0.0794,0.197,94.048,4
spotify:track:2OxvanM5m1Na9OVlXyXmUp,"Lesung Pipi","Lesung Pipi","Raim Laode",2023-08-31,225153,85,,2025-05-09T13:15:36Z,"indonesian pop,indonesian indie","Raim Laode",0.6,0.375,0,-10.668,1,0.0316,0.465,0,0.542,0.401,135.816,4
spotify:track:1UPB5rYJ0bzn6mNSoAHrZC,"You'll Be in My Heart","You'll Be In My Heart","NIKI",2022-09-14,241776,92,,2025-05-09T13:15:36Z,"","88rising Music",0.486,0.613,9,-8.748,1,0.0394,0.0569,0.00139,0.126,0.633,187.531,4
spotify:track:654ZF6YNWjQS2NhwR3QnX7,"Komang","Komang","Raim Laode",2022-08-16,222706,84,,2025-05-09T13:15:36Z,"indonesian pop,indonesian indie","Raim Laode",0.696,0.413,7,-8.548,1,0.027,0.396,0.0000592,0.0998,0.344,133.905,4
spotify:track:0daEJMXc3b4ZMTnvtHpuTt,"Nina","Membangun & Menghancurkan",".Feast",2024-08-30,277944,81,,2025-05-09T13:15:36Z,"indonesian indie,indorock","Sun Eater",0.457,0.63,2,-5.826,1,0.0268,0.183,0.438,0.0879,0.332,90.009,4
spotify:track:1ylY6UrF7cmOZ9GDOxrfk8,"Bila Kau Tak Disampingku","Kisah Klasik Untuk Masa Depan","Sheila On 7",2000-10-04,256173,81,,2025-05-09T13:15:36Z,"indonesian pop,malay,indorock,indonesian indie","Sony Music Entertainment",0.71,0.669,1,-8.961,1,0.0302,0.00619,0.000104,0.124,0.826,119.993,4
spotify:track:2ECbN3xQ7M6B7AI9BhhCy7,"Stecu Stecu","Stecu Stecu","Faris Adam",2025-03-05,223750,83,,2025-05-09T13:15:36Z,"lagu timur,maluku,funkot,dangdut","Netrilis Music",0.832,0.825,8,-4.951,1,0.0601,0.119,0,0.133,0.915,103.011,4
spotify:track:0PtJbtW50jcvvswNPn3QGd,"Serana","Perayaan Patah Hati - Babak 1","For Revenge",2022-09-06,250000,82,,2025-05-09T13:15:36Z,"indonesian indie,indonesian pop,pop punk,indorock","Didi Music",0.439,0.652,2,-5.403,1,0.0293,0.0624,0.372,0.126,0.247,130.029,4
spotify:track:2wAiFWjRupWmnDkQcu91MF,"Rumah Ke Rumah","Menari Dengan Bayangan","Hindia",2019-11-29,277457,84,,2025-05-09T13:15:36Z,"indonesian indie,indonesian pop","Sun Eater",0.72,0.786,11,-7.396,1,0.0319,0.456,0.616,0.186,0.488,116.032,4
spotify:track:0O6g2QFUhuLqRzGqhyzrIu,"Hitam Putih","Lelaku","Fourtwnty",2015-04-20,251000,78,,2025-05-09T13:15:36Z,"indonesian indie,indonesian pop,indie","Fourtwnty",0.517,0.329,2,-10.699,1,0.033,0.785,0.0000191,0.0823,0.148,119.863,4
spotify:track:3CSFXGhoR8C9kBF90xhIXG,"Tanpa Cinta","Tanpa Cinta","Yovie Widianto,Tiara Andini",2025-04-24,255327,72,,2025-05-09T13:15:36Z,"indonesian pop,malay","PT. Universal Music Indonesia",0.515,0.438,3,-8.723,1,0.0315,0.861,0.00000708,0.132,0.226,135.812,4
spotify:track:4mLazr37b1WXxiV0BDvTpb,"Selalu Ada di Nadimu (Original Soundtrack From “JUMBO)","Selalu Ada di Nadimu (Original Soundtrack From “JUMBO)","Bunga Citra Lestari",2025-03-20,281250,77,,2025-05-09T13:15:36Z,"indonesian pop,malay","BASH Records / Visinema",0.309,0.323,1,-8.659,1,0.0289,0.888,0.000633,0.161,0.235,89.84,4
spotify:track:7lulQZKlbZzBKsK4rfP8h5,"PICA PICA","PICA PICA","Juan Reza",2025-03-17,204238,75,,2025-05-09T13:15:36Z,"lagu timur,maluku,funkot,dangdut,batak","JRZ Record",0.864,0.921,9,-7.17,1,0.0311,0.0487,0,0.193,0.969,105.004,4
spotify:track:26KhLgFuPymkm1uiZkc6Rv,"Bunga Maaf","Bunga Maaf","The Lantis",2024-11-15,252349,84,,2025-05-09T13:15:36Z,"malay,indonesian pop,indonesian indie","WM Indonesia",0.468,0.525,9,-7.399,1,0.0283,0.789,0.0244,0.0861,0.296,158.15,4
spotify:track:6AyBbSvcR2ZwTeR30I4jb9,"Jakarta Hari Ini","Perayaan Patah Hati - Babak 1","For Revenge,Stereo Wall",2022-09-06,221000,80,,2025-05-09T13:15:36Z,"indonesian indie,indonesian pop,pop punk,indorock","Didi Music",0.529,0.804,5,-5.126,1,0.0386,0.28,0,0.101,0.176,113.996,4
